record_id,date,category,value,unit,source,status
R0001105,2022-03-18,lab_test,,g/dL,,ok
R0000416,2022-10-18,admission,3.06,points,SYSTEM_B,pending
R0000395,2022-08-21,billing ,1428.67,EUR,manual_entry,rejected
R0000074,2022-03-22,TRANSFER,4.61,count,,pending
R0000157,03/07/2022,lab_test,14.41,mmol/L,system_b,cancelled
R0000907,2022-08-31,TRANSFER,6.84,points,manual_entry,review
R0001042,2022-08-14,discharge,9.27,min,import_batch,review
R0000372,2022-12-23,follow_up,80.88,points,manual_entry,ok
R0001146,2022-11-05,billing,1685.52,SEK,system_b,cancelled
R0001003,2022-09-23,lab_test,1.48,mmol/L,import_batch,cancelled
R0000437,2022-01-10,lab_test,2.25,mmol/L,manual_entry,cancelled
R0000213,2022-04-03,imaging,37.77,min,system_c,rejected
R0001063,2022-12-21,imaging ,,count,system_b,
R0000402,2022-08-12,follow_up,39.03,min,system_b,cancelled
R0000704,14/05/2022,billing,2524.75,USD,manual_entry,rejected
R0000624,2022-11-29,transfer ,8.9,points,system_a,ok
R0001102,2022-03-30,admission,5.31,min,system_a,review
R0001169,2022-11-06,billing,2515.14,SEK,import_batch,cancelled
R0000723,2022-02-19,follow_up,84.71,count,system_b,pending
R0001195,2022-11-09,admission,9.59,min,system_c,pending
R0000555,28/12/2022,lab_test,6.83,mmol/L, system_b,review
R0000103,2022-11-11,admission,2.74,points,import_batch,review
R0000570,2022-02-17,lab_test,10.65,mg/L,system_c,rejected
R0000095,2022-12-21,admission,8.76,count,system_c,rejected
R0000679,2022-02-09,admission,8.15,count,system_c,ok
R0000456,2022-11-02,billing,1660.19,SEK,system_c,Ok
R0000835,2022-01-01,imaging,41.75,min,manual_entry,Pending
R0000911,2022-10-29,medication,895.43,dose,manual_entry,Pending
R0000196,2022-03-20,labtest,4.83,mmol/L,system_c,rejected
R0000691,2022-10-28,DISCHARGE,3.83,points,import_batch,cancelled
R0000757,2022-08-20,transfer,4.29,min,system_b,cancelled
R0000886,2022-02-20,medication,52.24,dose,system_b,pending
R0001198,02/05/2022,transfer,-8.76,count,system_b,ok
R0000968,2022-11-05,billing,3001.74,EUR,manual_entry,ok
R0000384,2022-12-21,medication,818.46,ml,,Review
R0000830,2022-06-13,follow-up,5.65,min,system_b,pending
R0000205,2022-09-16,billing ,193.29,USD,SYSTEM_B,pending
R0001117,2022-10-02,follow_up,93.12,min,system_a,pending
R0000625,2022-11-24,discharge,3.98,points,system_a,rejected
R0001041,2022-07-31,lab_test,18.85,g/dL,system_a,ok
R0001145,28/06/2022,lab_test,5.24,mmol/L,import_batch,review
R0000315,2022-11-21,transfer,9.07,count,system_c,ok
R0000611,2022-04-23,DISCHARGE,4.8,min,import_batch,ok
R0000804,2022-03-19,transfer,3.77,count,manual_entry,ok
R0001165,2022-04-04,medication,735.48,mg,system_b,cancelled
R0000928,2022-04-19,billing ,837.39,SEK,,rejected
R0000895,2022-05-09,follow_up,86.26,min,manual_entry,Pending
R0000093,2022-11-26,billing,1817.61,EUR,system_a,ok
R0000054,27/09/2022,follow_up,66.37,min,system_a,ok
R0000730,2022-10-05,admission,6.23,count,system_c,rejected
R0000793,2022-03-15,follow-up,46.9,points,system_b,rejected
R0000063,2022-02-02,discharge,1.86,points,system_b,cancelled
R0000120,2022-06-22,follow_up,46.8,count,manual_entry,
R0000122,2022-06-01,medication,573.3,ml,system_a,cancelled
R0000327,2022-02-20,labtest,22.84,mg/L,import_batch,review
R0000411,2022-08-15,admission,1.49,points,manual_entry,ok
R0001050,2022-10-02,medication,910.81,mg,import_batch,
R0001158,30/03/2022,follow_up,42.69,count,system_c,cancelled
R0000889,2022-04-01,transfer,1.74,count,system_a,OK
R0000925,30/07/2022,discharge,6.66,points,import_batch,rejected
R0000288,2022-08-28,follow_up,35.82,count,manual_entry,review
R0000020,21/01/2022,medication ,4927.07,ml,IMPORT_BATCH,rejected
R0000641,2022-01-30,admission,4.4,count,system_a,cancelled
R0001121,2022-07-05,admission,5.46,points,system_a,review
R0000040,2022-05-19,follow_up,22.16,count,manual_entry,review
R0000764,2022-09-11,follow_up,69.14,count,system_a,cancelled
R0000179, 2022-08-23 ,medication ,420.4,dose,system_c,review
R0000100, 2022-03-04 ,follow_up,98.66,points,system_c,pending
R0001081,2022-06-30,discharge,2.27,points,system_a,ok
R0000339,2022-08-21,ADMISSION,8.96,count,system_b,review
R0000515, 2022-09-01 ,TRANSFER,9.73,min,manual_entry,rejected
R0001120,15/12/2022,imaging,73.68,count,system_a,rejected
R0000854,2022-07-10,imaging,43.53,min,system_a,pending
R0000101,2022-09-03,lab_test,,mmol/L,system_c,Ok
R0000798,12/05/2022,imaging,88.93,min,import_batch,pending
R0001077,2022-10-15,labtest,6.09,mmol/L,import_batch,Rejected
R0001032,2022-10-30,follow_up,84.26,points,import_batch,pending
R0000541,2022-08-24,billing,4797.72,EUR,import_batch,
R0000905,2022-07-26,discharge,2.44,count,SYSTEM_C,rejected
R0000042,2022-08-14,transfer ,2.14,count,system_b,ok
R0000377,03/09/2022,transfer ,5.57,points,import_batch,rejected
R0000244,2022-10-12,admission,7.72,points,system_b,OK
R0000347,2022-12-13,billing,1708.09,USD,manual_entry,review
R0000183,2022-02-08,IMAGING,357.65,count,manual_entry,review
R0000805,2022-07-15,discharge,6.05,points,system_b,rejected
R0000592,2022-11-18,billing,2546.07,USD,system_c,ok
R0000687,2022-10-14,billing,1290.17,EUR,SYSTEM_B,cancelled
R0000788,16/04/2022,lab_test,22.78,g/dL,system_c,Review
R0001175,2022-02-27,imaging,86.42,min,system_c,pending
R0000428,2022-05-29,billing,3171.9,USD,system_b,review
R0000949,10/03/2022,follow_up,28.36,min,manual_entry,rejected
R0001127,2022-07-06,transfer,9.19,points,manual_entry,OK
R0000816,2022-02-03,transfer,8.36,count,system_a,cancelled
R0000721, 2022-09-24 ,imaging,10.89,min,system_b,ok
R0000235, 2022-06-10 ,follow-up,86.48,points,system_c,rejected
R0001111,2022-11-06,medication,37.14,ml,system_c,rejected
R0000329,2022-10-05,medication,193.35,mg,system_a,review
R0000677,2022-09-08,discharge,4.58,points,system_c,ok
R0000934,2022-11-28,admission,8.77,points,import_batch,ok
R0000408,2022-03-03,admission,3.68,count,system_a,pending
R0001004,18/12/2022,labtest,2.55,g/dL,system_a,cancelled
R0001067,2022-11-28,medication,438.1,dose,manual_entry,OK
R0000290,2022-02-04,imaging,48.97,count,import_batch,cancelled
R0000987,2022-04-12,transfer,54.13,points,import_batch,rejected
R0001176,2022-10-18,billing,955.96,SEK,import_batch,cancelled
R0000292,2022-06-05,imaging,57.86,count,system_c,Review
R0000956, 2022-08-20 ,follow_up,4.75,count,system_c,
R0000917,2022-08-12,billing,2244.89,USD,system_c,pending
R0000530,23/09/2022,imaging,76.78,count,system_c,ok
R0000970,2022-08-28,discharge,9.09,count,system_a,review
R0000627,2022-03-14,admission,9.84,min,import_batch,OK
R0000664,2022-05-15,IMAGING,26.08,count,system_b,ok
R0000908,2022-03-20,transfer ,6.74,count,system_a,pending
R0000858,2022-08-26,lab_test,19.35,g/dL,system_a,ok
R0000973,2022-12-18,lab_test,14.77,mmol/L,import_batch,cancelled
R0000992,05/06/2022,transfer,3.52,points,system_c,review
R0000245,2022-05-10,ADMISSION,5.93,points,system_c,pending
R0000098,2022-05-23,discharge,4.45,points,system_c,review
R0000080,2022-06-11,lab_test,23.79,g/dL,import_batch,review
R0000977,2022-10-07,labtest,14.24,g/dL,import_batch,rejected
R0001160,2022-09-01,lab_test,7.39,g/dL,manual_entry,rejected
R0000586,2022-07-06,imaging,49.6,count,system_b,
R0000896,2022-07-10,follow_up,88.42,min,system_b,cancelled
R0000209,2022-11-04,discharge,6.77,min,system_c,ok
R0000692,2022-09-16,transfer,8.54,points,import_batch,ok
R0000084,2022-03-07,lab_test,22.93,g/dL,system_b,rejected
R0000338,2022-12-10,billing,1938.75,USD,system_b,rejected
R0000619,2022-10-31,admission,7.13,points,system_b,ok
R0000615,2022-08-23,medication,755.24,dose,system_c,cancelled
R0000434,10/11/2022,BILLING,4245.77,SEK,import_batch,rejected
R0000455,2022-03-20,follow_up,18.05,count,system_a,pending
R0000447,2022-08-06,imaging,73.54,min,system_b,cancelled
R0000490,2022-12-24,lab_test,9.68,g/dL,system_a,review
R0000443,10/06/2022,lab_test,16.54,mmol/L,import_batch,review
R0000694,2022-03-13,admission,8.89,min,system_b,rejected
R0000902,2022-10-08,lab_test,16.47,g/dL,system_b,cancelled
R0000986,2022-10-14,imaging,77.58,min,system_c,cancelled
R0000247,2022-04-24,imaging ,29.28,count,import_batch,rejected
R0000813,2022-04-05,imaging,56.67,count,manual_entry,review
R0000705,2022-07-16,billing ,4179.45,EUR,system_a,pending
R0000090,2022-09-28,follow_up,46.91,count,,pending
R0000469,2022-02-03,follow_up,12.48,points,system_a,ok
R0000110,2022-03-25,transfer,4.61,count,manual_entry,pending
R0000161, 2022-09-21 ,billing ,4076.97,SEK,import_batch,cancelled
R0000608,24/02/2022,admission,2.69,min,import_batch,rejected
R0000333,2022-11-14,lab_test,3.27,mmol/L,system_c,rejected
R0000578,2022-03-08,follow_up,76.31,min,import_batch,rejected
R0000232,2022-05-29,transfer,2.24,min,import_batch,pending
R0000519,2022-01-01,billing,1490.33,SEK,system_b,cancelled
R0000323,2022-10-19,BILLING,44955.11,EUR,system_c,ok
R0000286,2022-02-15,imaging,29.88,count,SYSTEM_B,rejected
R0000635,2022-03-12,billing,3427.69,SEK,system_b,cancelled
R0000226,2022-08-16,lab_test,21.75,mmol/L,SYSTEM_C,rejected
R0001148,2022-10-20,billing ,4679.14,USD,import_batch,OK
R0000248,13/03/2022,billing,3678.22,EUR,system_c,ok
R0000474,2022-06-19,transfer,1.94,min,system_a,pending
R0000405,2022-03-17,lab_test,20.62,mg/L,import_batch,ok
R0000118, 2022-01-19 ,admission,3.09,count,,rejected
R0000710,2022-05-12,ADMISSION,,min,system_a,OK
R0000478,2022-08-29,imaging,27.18,count,system_c,rejected
R0000438,2022-01-24,medication,859.6,mg,system_a,cancelled
R0000144,2022-06-07,medication,268.7,dose,manual_entry,
R0000689,2022-11-08,medication,,ml,system_c,ok
R0000861,2022-04-15,transfer,6.38,min,system_b,cancelled
R0000353,2022-06-24,admission,5.34,points,system_c,ok
R0000660,2022-03-10,discharge,6.55,min,system_c,rejected
R0001079,2022-06-09,lab test,20.26,mg/L,,ok
R0000219,2022-02-28,lab test,7.6,g/dL,import_batch,review
R0000136,2022-04-22,follow-up,95.72,points,system_a,Pending
R0000883,2022-02-03,admission,2.74,count,import_batch,
R0000382,03/06/2022,billing,,EUR,import_batch,ok
R0000089,27/05/2022,admission,3.12,min,,cancelled
R0000238,2022-04-20,medication,73.81,dose,import_batch,review
R0000464,2022-03-31,follow_up,0.71,points,system_c,review
R0000017,09/03/2022,transfer,6.81,min,system_a,ok
R0000059,2022-12-18,follow_up,85.33,count,system_c,rejected
R0000204,2022-06-09,follow_up,41.68,min,manual_entry,ok
R0000436,2022-07-04,imaging,20.55,min,manual_entry,rejected
R0000355,2022-03-02,IMAGING,6.61,count, manual_entry,cancelled
R0000427,2022-08-05,medication,921.78,ml,system_a,rejected
R0001122,2022-12-13,medication,905.94,mg,MANUAL_ENTRY,pending
R0000529,2022-01-21,follow-up,81.88,points,system_a,review
R0000300,2022-04-12,discharge,2.33,min,import_batch,pending
R0001134,2022-12-05,transfer,7.95,points,,pending
R0000417,2022-05-25,billing,2494.97,EUR,system_c,pending
R0000055,2022-09-07,admission,9.73,min,import_batch,review
R0001133,2022-01-04,admission,6.72,count,system_a,rejected
R0000319,2022-08-22,medication,,mg,system_b,review
R0000916,2022-07-08,lab_test,14.41,mmol/L,system_a,pending
R0000289,2022-07-06,labtest,20.5,mg/L,import_batch,
R0000836,2022-01-12,admission,3.73,min,system_a,Cancelled
R0000151,2022-09-19,transfer ,,points,manual_entry,Ok
R0000840,2022-08-30,admission,8.52,count,system_b,ok
R0001110,2022-07-05,transfer,9.17,min,manual_entry,review
R0000452,24/01/2022,lab_test,19.07,g/dL,system_a,pending
R0000717,2022-04-26,billing,2119.99,EUR,system_a,cancelled
R0000919,2022-07-16,follow_up,20.09,points,system_c,ok
R0000082,2022-05-07,admission,3.89,points,system_a,ok
R0000160,2022-12-19,billing ,1523.66,USD,system_a,pending
R0000720,2022-12-17,billing,848.83,SEK,system_b,pending
R0000993,2022-05-02,discharge,3.99,points,system_a,review
R0000655,2022-09-28,admission,9.98,count,system_b,rejected
R0000117,2022-05-28,imaging,30.4,count,import_batch,rejected
R0001053,2022-12-22,billing,,USD,system_b,cancelled
R0001189,2022-11-06,transfer,8.28,points,IMPORT_BATCH,
R0000167,2022-02-05,discharge,5.3,min,system_a,pending
R0000563,2022-12-08,discharge,6.54,min,system_a,review
R0000255,2022-12-05,lab_test,3.76,mg/L,manual_entry,
R0001186,2022-03-11,discharge ,6.55,min,system_c,ok
R0000857,2022-07-28,BILLING,186.94,EUR,import_batch,rejected
R0000892,2022-06-08,discharge,1.29,count,manual_entry,rejected
R0000869,2022-04-29,billing,765.35,USD,system_b,rejected
R0001188,2022-08-23,follow_up,85.06,min,system_b,ok
R0000359,2022-05-26,admission ,8.0,points,,ok
R0000201,2022-02-21,billing,110196.67,EUR,system_a,ok
R0000363,2022-08-12,transfer,3.93,points,manual_entry,rejected
R0000470,2022-12-12,admission,4.62,min,IMPORT_BATCH,review
R0000741,2022-10-22,billing,4166.79,EUR, import_batch,cancelled
R0000335,25/10/2022,follow_up,17.62,count,import_batch,ok
R0000569,2022-11-25,admission,2.64,min,system_c,ok
R0000618,2022-05-28,transfer,9.51,min,system_c,review
R0000931,2022-04-03,lab_test,13.28,mg/L,import_batch,
R0001039,2022-05-23,imaging,31.41,min,import_batch,ok
R0000744,2022-04-16,lab_test,19.22,mg/L,import_batch,review
R0000632,2022-07-16,BILLING,837.94,SEK,manual_entry,pending
R0000526, 2022-12-21 ,discharge,4.9,points,system_a,pending
R0001147,2022-10-31,imaging,41.13,min,SYSTEM_C,review
R0000974,2022-12-26,imaging,49.0,count,system_c,OK
R0000871,2022-07-06,BILLING,1382.15,EUR,system_b,pending
R0000797,19/08/2022,discharge,,points,system_a,rejected
R0001177,2022-10-09,DISCHARGE,8.43,points,system_c,review
R0001157,10/12/2022,IMAGING,36.71,count,SYSTEM_B,Rejected
R0001149,2022-03-09,admission,7.86,count,system_c,cancelled
R0000049,2022-01-01,discharge,5.46,min,system_a,rejected
R0000028,2022-03-04,imaging,-22.71,min,system_a,review
R0000476,2022-08-22,medication,246.72,ml,SYSTEM_A,ok
R0000227,2022-09-18,follow-up,11.87,min,MANUAL_ENTRY,review
R0000548,2022-12-05,imaging,46.38,min,system_c,OK
R0001167,2022-01-06,imaging,79.07,min,manual_entry,cancelled
R0000663,2022-10-04,follow_up,91.77,count,system_c,Pending
R0000553,2022-10-20,imaging,48.39,min,import_batch,OK
R0000596,2022-09-25,follow_up,90.36,count,system_a,OK
R0000129,2022-05-02,admission,7.79,count,system_b,review
R0000982,2022-11-14,billing,1225.53,USD,,cancelled
R0000311,2022-04-14,follow_up,38.75,min, manual_entry,rejected
R0000295,2022-11-02,billing,2837.57,EUR,system_c,ok
R0000459,2022-10-01,follow_up,2786.97,points,manual_entry,review
R0000927,2022-06-03,imaging,19.61,count, system_b,pending
R0000375,2022-06-12,medication,285.1,mg,import_batch,pending
R0000603,2022-06-27,admission,9.7,min,system_c,rejected
R0001087,2022-01-06,imaging,-8.4,min,system_b,review
R0000212,2022-11-14,transfer,7.7,count,system_c,ok
R0000511,2022-02-01,discharge,1.77,count,,rejected
R0000451,2022-07-13,medication,15501.89,mg,,cancelled
R0000166,2022-12-23,labtest,17.52,g/dL,system_a,OK
R0000929,2022-03-22,billing ,872.64,SEK,import_batch,review
R0000600,2022-03-04,medication,530.97,dose,manual_entry,cancelled
R0000652,2022-05-01,admission,6.22,points, system_c,cancelled
R0000670,2022-05-18,IMAGING,80.19,min,system_c,rejected
R0000341,2022-12-09,follow_up,73.13,count,manual_entry,pending
R0000532,2022-12-22,imaging,25.69,count,system_c,ok
R0000326,2022-04-21,lab_test,3.01,mmol/L,system_a,cancelled
R0000582,2022-02-12,BILLING,4893.88,EUR,,rejected
R0000781,2022-06-06,imaging,67.91,count,IMPORT_BATCH,Review
R0000077,2022-02-09,medication,431.22,mg,import_batch,ok
R0000159,2022-08-14,medication,457.86,ml,system_a,cancelled
R0000497,2022-10-19,billing,4084.67,SEK,system_b,ok
R0000073,08/06/2022,medication,974.57,ml,system_a,ok
R0000257,2022-09-15,discharge,1.15,min,system_b,Review
R0000471,2022-08-16,follow_up,10.27,points,system_b,cancelled
R0000851,2022-04-04,admission,7.18,min,SYSTEM_B,pending
R0001023,2022-12-02,admission,,count,manual_entry,
R0000772, 2022-06-15 ,discharge,3.37,points,manual_entry,cancelled
R0000331,2022-11-26,follow_up,19.81,min,manual_entry,rejected
R0000887,2022-07-27,transfer,3.98,min,system_a,
R0000310,2022-09-02,medication ,185.56,mg,import_batch,ok
R0000340,2022-12-27,follow_up,60.46,count,import_batch,ok
R0001078,2022-08-14,ADMISSION,1.01,points,system_a,ok
R0000998,2022-09-19,follow-up,48.01,count,system_c,ok
R0001096,2022-05-06,lab_test,3.82,g/dL,SYSTEM_A,rejected
R0000268,2022-05-08,lab_test,14.39,mmol/L,system_b,cancelled
R0000378,2022-08-17,lab_test,10.1,mg/L,system_a,cancelled
R0000397,09/08/2022,follow_up,49.79,count,import_batch,
R0000229,2022-04-08,medication,46.73,ml,manual_entry,rejected
R0001057,2022-06-06,medication,387.23,dose,import_batch,pending
R0000371,30/09/2022,imaging,80.92,count,system_c,ok
R0000050,2022-11-08,follow_up,62.26,count,system_c,rejected
R0001008,2022-02-15,discharge ,7.59,count,manual_entry,ok
R0000223,2022-03-23,discharge,4.61,min,manual_entry,ok
R0000458,2022-01-22,lab_test,21.17,mmol/L,import_batch,rejected
R0000528,2022-07-21,discharge,10.0,count,system_c,pending
R0000678,2022-11-03,discharge ,5.71,points,manual_entry,Pending
R0000142,11/11/2022,billing,3790.27,USD,import_batch,pending
R0000264,2022-02-16,imaging,59.3,count,manual_entry,Review
R0000302,2022-03-17,transfer,4.96,min,system_b,ok
R0000727,2022-08-24,follow_up,48.4,points,system_b,ok
R0001142,2022-06-27,billing,1580.47,EUR,import_batch,ok
R0000633,2022-11-23,billing,616.65,SEK, import_batch,ok
R0000502,2022-10-23,labtest,19.9,g/dL,manual_entry,pending
R0000126,2022-12-05,admission,5.25,count,manual_entry,rejected
R0000404,03/04/2022,follow_up,65.15,min,import_batch,review
R0000133,2022-07-14,transfer,2.71,count,system_b,pending
R0001108,03/03/2022,discharge,1.67,points,,review
R0000218,2022-05-10,medication,,dose, system_a,rejected
R0000818,2022-03-30,follow_up,38.56,count,manual_entry,ok
R0000897,2022-01-21,discharge,2.33,points,system_c,review
R0000594,2022-03-04,billing,,USD,system_b,ok
R0000154,2022-04-12,lab_test,4.44,g/dL,system_b,rejected
R0000173,12/09/2022,discharge,6.48,count,SYSTEM_A,
R0000376,16/03/2022,follow_up,70.71,count,manual_entry,ok
R0000761,2022-05-22,billing ,3834.74,EUR,system_b,Cancelled
R0000591,2022-06-12,transfer,3.18,points,system_a,rejected
R0000199,2022-10-20,imaging,38.26,min,system_b,ok
R0000913,2022-09-28,labtest,506.21,g/dL,system_b,review
R0000825,2022-01-06,imaging,54.19,count,system_b,rejected
R0001164, 2022-10-28 ,admission,1.45,count,,pending
R0000379,2022-06-29,discharge,3.86,min,system_c,rejected
R0000512,2022-06-11,admission,125.76,count,manual_entry,cancelled
R0001196,2022-09-13,follow-up,18.42,min,,OK
R0000296,20/10/2022,lab_test,,mmol/L, system_b,cancelled
R0000396,2022-02-09,medication,135.47,mg,system_a,pending
R0000863,2022-05-22,transfer ,2.12,points,system_a,rejected
R0000345,2022-06-04,lab_test,6.02,mmol/L,SYSTEM_C,ok
R0001056,2022-05-07,lab_test,20.83,mg/L, manual_entry,ok
R0001103,2022-04-28,medication,657.7,ml,manual_entry,review
R0001123,2022-11-27,billing,1151.69,USD,manual_entry,ok
R0001019,2022-06-20,transfer,8.82,count,system_a,Pending
R0000254,2022-10-21,lab_test,16.56,g/dL,manual_entry,Rejected
R0000601,2022-12-10,admission,8.16,count,import_batch,review
R0000682,2022-12-22,transfer,9.35,points,system_c,ok
R0001073,26/07/2022,medication,488.79,dose,import_batch,cancelled
R0000421,2022-09-09,discharge,9.76,count,system_c,cancelled
R0000969,2022-07-25,MEDICATION,263.54,dose,system_a,pending
R0000322, 2022-11-12 ,follow_up,80.8,points, SYSTEM_B,ok
R0000380,2022-02-14,follow_up,88.78,count,system_b,rejected
R0000386,2022-03-25,medication,96.74,dose,,cancelled
R0000440,2022-03-12,admission,8.84,count,manual_entry,pending
R0000197,2022-05-16,admission,6.63,min,system_c,rejected
R0000048,2022-07-29,admission,6.19,points,manual_entry,rejected
R0001026,2022-06-15,billing,2083.89,USD,system_c,pending
R0000012,2022-01-28,imaging,12.78,min,manual_entry,rejected
R0001131,2022-05-30,billing,1350.15,EUR,system_b,ok
R0001013,2022-01-28,billing,1865.12,USD,system_a,Pending
R0000844,2022-12-19,lab_test,8.44,g/dL,import_batch,pending
R0000988,14/11/2022,transfer,1.77,min,system_c,ok
R0000544,2022-07-24,admission ,9.11,min,system_c,pending
R0000063,2022-02-02,discharge,3.36,points,system_b,cancelled
R0001114,2022-07-07,discharge,3.37,points,system_b,rejected
R0001181, 2022-01-01 ,follow_up,33.62,points,manual_entry,review
R0000399,2022-02-01,follow_up,46.98,points,system_c,cancelled
R0000394,2022-06-23,admission,4.57,min,manual_entry,Pending
R0000552,2022-10-17,discharge,5.71,count,system_c,
R0001161,2022-12-13,follow_up,62.23,min,SYSTEM_C,review
R0000265,2022-05-31,transfer,9.67,min,,review
R0000864,2022-02-25,billing,3159.16,SEK,system_c,Ok
R0000003,2022-04-27,admission,9.3,points,system_c,
R0000617,2022-09-27,transfer,7.26,count,manual_entry,review
R0000057,2022-04-29,admission,3.2,min,system_b,pending
